2026-03-18 12:00:04 WARNING  [static_analyzer:31] Unsupported programming language: JSON. Skipping.
2026-03-18 12:00:05 WARNING  [static_analyzer.typescript_config_scanner:50] No TypeScript configuration files found in /home/pablo/cyberops-v2
2026-03-18 12:00:05 INFO     [static_analyzer:57] No TypeScript config files found, using repository root
2026-03-18 12:00:05 WARNING  [static_analyzer.typescript_config_scanner:50] No TypeScript configuration files found in /home/pablo/cyberops-v2
2026-03-18 12:00:05 INFO     [static_analyzer:57] No TypeScript config files found, using repository root
2026-03-18 12:00:05 INFO     [static_analyzer:141] Starting LSP client for JavaScript
2026-03-18 12:00:05 INFO     [static_analyzer.lsp_client.typescript_client:44] node_modules found at: /home/pablo/cyberops-v2/node_modules
2026-03-18 12:00:05 INFO     [static_analyzer.lsp_client.client:139] Starting server /usr/share/code/code /home/pablo/.codeboarding/servers/node_modules/typescript-language-server/lib/cli.mjs --stdio --log-level=2...
2026-03-18 12:00:05 INFO     [static_analyzer.lsp_client.typescript_client:57] Initializing connection for javascript...
2026-03-18 12:00:05 INFO     [static_analyzer.lsp_client.typescript_client:88] Initialization successful.
2026-03-18 12:00:05 INFO     [static_analyzer.lsp_client.typescript_client:115] Found 47 TypeScript/JavaScript files
2026-03-18 12:00:05 INFO     [static_analyzer.lsp_client.typescript_client:156] Found configuration file: /home/pablo/cyberops-v2/package.json
2026-03-18 12:00:05 INFO     [static_analyzer.lsp_client.typescript_client:167] Opening sample files to bootstrap TypeScript project...
2026-03-18 12:00:05 INFO     [static_analyzer.lsp_client.typescript_client:186] Waiting 5s for TypeScript server to initialize project...
2026-03-18 12:00:10 INFO     [static_analyzer.lsp_client.typescript_client:191] TypeScript project successfully loaded!
2026-03-18 12:00:10 INFO     [static_analyzer.lsp_client.client:460] Sending workspace configuration for javascript...
2026-03-18 12:00:10 INFO     [static_analyzer.lsp_client.client:468] Workspace configuration sent for javascript
2026-03-18 12:00:10 INFO     [static_analyzer:141] Starting LSP client for TypeScript
2026-03-18 12:00:10 INFO     [static_analyzer.lsp_client.typescript_client:44] node_modules found at: /home/pablo/cyberops-v2/node_modules
2026-03-18 12:00:10 INFO     [static_analyzer.lsp_client.client:139] Starting server /usr/share/code/code /home/pablo/.codeboarding/servers/node_modules/typescript-language-server/lib/cli.mjs --stdio --log-level=2...
2026-03-18 12:00:10 INFO     [static_analyzer.lsp_client.typescript_client:57] Initializing connection for typescript...
2026-03-18 12:00:10 INFO     [static_analyzer.lsp_client.typescript_client:88] Initialization successful.
2026-03-18 12:00:11 INFO     [static_analyzer.lsp_client.typescript_client:115] Found 47 TypeScript/JavaScript files
2026-03-18 12:00:11 INFO     [static_analyzer.lsp_client.typescript_client:156] Found configuration file: /home/pablo/cyberops-v2/package.json
2026-03-18 12:00:11 INFO     [static_analyzer.lsp_client.typescript_client:167] Opening sample files to bootstrap TypeScript project...
2026-03-18 12:00:11 INFO     [static_analyzer.lsp_client.typescript_client:186] Waiting 5s for TypeScript server to initialize project...
2026-03-18 12:00:16 INFO     [static_analyzer.lsp_client.typescript_client:191] TypeScript project successfully loaded!
2026-03-18 12:00:16 INFO     [static_analyzer.lsp_client.client:460] Sending workspace configuration for typescript...
2026-03-18 12:00:16 INFO     [static_analyzer.lsp_client.client:468] Workspace configuration sent for typescript
2026-03-18 12:00:16 INFO     [codeboarding_pro.session:108] Session 7642a95b-d99c-416c-9fbc-5c20855e4fa8 initialized: repo=/home/pablo/cyberops-v2, project=cyberops-v2, output=/home/pablo/cyberops-v2/.codeboarding
2026-03-18 23:23:28 INFO     [codeboarding_pro.ws.server:155] WebSocket disconnected: session 7642a95b-d99c-416c-9fbc-5c20855e4fa8
2026-03-18 23:23:28 INFO     [static_analyzer.lsp_client.client:1238] Shutting down langserver...
2026-03-18 23:23:28 ERROR    [static_analyzer:171] Error closing LSP client for JavaScript: [Errno 32] Broken pipe
2026-03-18 23:23:28 INFO     [static_analyzer.lsp_client.client:1238] Shutting down langserver...
2026-03-18 23:23:28 ERROR    [static_analyzer:171] Error closing LSP client for TypeScript: [Errno 32] Broken pipe
2026-03-18 23:23:28 INFO     [codeboarding_pro.session:397] Session 7642a95b-d99c-416c-9fbc-5c20855e4fa8 destroyed
